# CEOs of various companies
ticker, ceo, website, start_date
AAPL, Tim Cook, https://en.wikipedia.org/wiki/Tim_Cook
AVGO, Hock E. Tan, , 2016-02-01
BLK, Larry Fink, https://en.wikipedia.org/wiki/Laurence_D._Fink
FB, Mark Zuckerberg, https://en.wikipedia.org/wiki/Mark_Zuckerberg
GE, John L. Flannery, https://en.wikipedia.org/wiki/John_L._Flannery
GOOGL, Larry Page, https://en.wikipedia.org/wiki/Larry_Page
INTC, Brian Krzanich, https://en.wikipedia.org/wiki/Brian_Krzanich
MSFT, Satya Nadella, https://en.wikipedia.org/wiki/Satya_Nadella
NMR, Koji Nagai, https://en.wikipedia.org/wiki/Koji_Nagai
QCOM, Steven Mollenkopf,
SBUX, Kevin Johnson, https://en.wikipedia.org/wiki/Kevin_Johnson_(executive), 2017-04-03
TSLA, Elon Musk, https://en.wikipedia.org/wiki/Elon_Musk
