providerPublishTime,relatedTickers,title,link,publisher
2024-10-23 16:06:00,['AMSF'],AMERISAFE Declares Special Dividend of $3.00 Per Share and Regular Quarterly Dividend,https://finance.yahoo.com/news/amerisafe-declares-special-dividend-3-200600888.html,Business Wire
2024-11-07 11:06:51,['SAR'],Saratoga Investment Declares Special Dividend; Shares Rise,https://finance.yahoo.com/news/saratoga-investment-declares-special-dividend-160651053.html,MT Newswires
2024-11-07 16:15:00,['RLI'],RLI Declares Special Dividend and Two-for-One Stock Split,https://finance.yahoo.com/news/rli-declares-special-dividend-two-211500571.html,Business Wire
2024-12-02 16:15:00,['RYN'],Rayonier Declares Special Dividend of $1.80 Per Share Payable 25% in Cash and 75% in Common Shares,https://finance.yahoo.com/news/rayonier-declares-special-dividend-1-211500704.html,Business Wire
2024-12-02 16:58:49,['RYN'],"Rayonier Declares Special Dividend, Sets $300 Million Share Buyback",https://finance.yahoo.com/news/rayonier-declares-special-dividend-sets-215849073.html,MT Newswires
2024-12-06 16:42:25,['LAMR'],"Lamar Advertising Keeps Quarterly Dividend, Declares Special Dividend",https://finance.yahoo.com/news/lamar-advertising-keeps-quarterly-dividend-214225638.html,MT Newswires
2024-12-10 08:49:42,,"Buckle Keeps Quarterly Dividend at $0.35 a Share, Declares Special Dividend of $2.50 a Share",https://finance.yahoo.com/news/buckle-keeps-quarterly-dividend-0-134942608.html,MT Newswires
2024-12-16 16:42:00,"['OBDE', 'OBDC', 'OWL']",Blue Owl Capital Corporation III Declares Special Dividend of $0.52 Per Share,https://finance.yahoo.com/news/blue-owl-capital-corporation-iii-214200760.html,PR Newswire
2024-12-20 16:05:00,['REFI'],Chicago Atlantic Real Estate Finance Declares Common Stock Dividend of $0.47 for the Fourth Quarter of 2024,https://finance.yahoo.com/news/chicago-atlantic-real-estate-finance-210500015.html,GlobeNewswire
2025-01-30 04:06:40,['CWT'],"California Water Service Group Lifts Quarterly Dividend, Declares Special Dividend",https://finance.yahoo.com/news/california-water-group-lifts-quarterly-090640852.html,MT Newswires
2025-01-31 08:00:00,['PIPR'],Piper Sandler Companies Reports Fourth Quarter and Full Year 2024 Results; Declares Special Dividend of $3.00 Per Share and Quarterly Dividend of $0.65 Per Share,https://finance.yahoo.com/news/piper-sandler-companies-reports-fourth-130000104.html,Business Wire
2025-02-04 08:00:00,['MBLU'],"Morris State Bancshares Announces Solid Earnings in 2024, Declares Special Dividend, and Increases Quarterly Dividend",https://finance.yahoo.com/news/morris-state-bancshares-announces-solid-130000390.html,GlobeNewswire
2025-02-10 06:25:15,['CNA'],"CNA Financial's Q4 Core Earnings Decline, Increases Regular Dividend, Declares Special Dividend",https://finance.yahoo.com/news/cna-financial-apos-q4-core-112515774.html,MT Newswires
2025-02-11 08:00:00,['MBLU'],Morris State Bancshares Declares Special Dividend,https://finance.yahoo.com/news/morris-state-bancshares-declares-special-130000696.html,GlobeNewswire
2025-02-13 04:24:26,,CBL Properties Keeps Quarterly Dividend; Declares Special Dividend,https://finance.yahoo.com/news/cbl-properties-keeps-quarterly-dividend-092426745.html,MT Newswires
2025-02-20 16:15:00,['BBDC'],"Barings BDC, Inc. Reports Fourth Quarter and Full Year 2024 Results, Announces Quarterly Cash Dividend of $0.26 Per Share and Declares Special Dividends Totaling $0.15 Per Share",https://finance.yahoo.com/news/barings-bdc-inc-reports-fourth-211500578.html,Business Wire
2025-02-20 17:10:00,['DCMDF'],DATA Communications Management Corp. Announces Initiation of a Dividend Program and Declares Special Dividend,https://finance.yahoo.com/news/data-communications-management-corp-announces-221000333.html,Business Wire
